freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.184e+01,3.834e+01,9.180e+02,9.982e+02
1.5,1.231e+02,7.113e+01,5.420e+02,7.363e+02
3.0,1.901e+02,1.041e+02,5.147e+01,3.457e+02
4.4,2.222e+02,9.903e+01,2.701e+02,5.913e+02
5.9,1.989e+02,1.001e+02,1.099e+03,1.398e+03
7.4,1.917e+02,1.086e+02,1.855e+03,2.155e+03
8.9,1.765e+02,1.107e+02,2.702e+03,2.989e+03
10.4,1.871e+02,9.063e+01,3.813e+03,4.091e+03
11.8,2.005e+02,7.131e+01,5.163e+03,5.435e+03
13.3,2.217e+02,8.192e+01,6.881e+03,7.184e+03
14.8,2.278e+02,1.090e+02,9.384e+03,9.720e+03
16.3,2.306e+02,1.264e+02,1.256e+04,1.291e+04
17.7,2.276e+02,1.181e+02,1.588e+04,1.623e+04
19.2,2.516e+02,9.701e+01,1.992e+04,2.027e+04
20.7,2.829e+02,1.179e+02,2.427e+04,2.467e+04
22.2,2.469e+02,1.409e+02,2.513e+04,2.552e+04
23.7,1.892e+02,1.257e+02,2.729e+04,2.760e+04
25.1,1.966e+02,1.424e+02,3.375e+04,3.409e+04
26.6,2.731e+02,1.598e+02,4.365e+04,4.408e+04
28.1,3.940e+02,1.520e+02,5.619e+04,5.674e+04
29.6,4.212e+02,1.697e+02,7.236e+04,7.295e+04
31.1,3.652e+02,1.899e+02,9.227e+04,9.282e+04
32.5,4.964e+02,1.764e+02,1.120e+05,1.127e+05
34.0,8.925e+02,2.594e+02,1.369e+05,1.380e+05
35.5,1.060e+03,1.138e+03,1.700e+05,1.722e+05
37.0,8.742e+02,3.123e+03,2.145e+05,2.185e+05
38.5,6.814e+02,5.080e+03,2.596e+05,2.653e+05
39.9,7.690e+02,1.048e+04,3.180e+05,3.293e+05
41.4,1.124e+03,1.955e+04,4.411e+05,4.618e+05
42.9,2.635e+03,2.320e+04,6.568e+05,6.827e+05
44.4,6.003e+03,1.743e+04,1.037e+06,1.061e+06
45.8,1.354e+04,1.460e+04,1.630e+06,1.658e+06
47.3,2.836e+04,1.734e+04,2.220e+06,2.265e+06
48.8,3.791e+04,2.346e+04,2.610e+06,2.672e+06
50.3,3.715e+04,2.418e+04,2.794e+06,2.855e+06
51.8,3.314e+04,1.877e+04,2.514e+06,2.566e+06
53.2,2.871e+04,1.399e+04,1.957e+06,2.000e+06
54.7,2.218e+04,1.183e+04,1.557e+06,1.591e+06
56.2,1.729e+04,1.076e+04,1.270e+06,1.298e+06
57.7,1.405e+04,8.862e+03,1.022e+06,1.044e+06
59.2,1.092e+04,7.775e+03,7.995e+05,8.182e+05
60.6,8.576e+03,7.339e+03,6.147e+05,6.306e+05
62.1,6.631e+03,7.669e+03,4.925e+05,5.068e+05
63.6,4.954e+03,8.044e+03,4.028e+05,4.158e+05
65.1,3.840e+03,7.555e+03,3.354e+05,3.468e+05
66.6,3.192e+03,6.770e+03,2.925e+05,3.025e+05
68.0,2.758e+03,6.230e+03,2.588e+05,2.678e+05
69.5,2.430e+03,6.489e+03,2.349e+05,2.438e+05
71.0,2.402e+03,7.221e+03,2.163e+05,2.260e+05
72.5,2.268e+03,7.576e+03,1.993e+05,2.091e+05
