freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.110e+02,4.865e+02,1.071e+01,7.082e+02
1.5,1.449e+02,2.805e+02,2.761e+01,4.530e+02
3.0,3.044e+01,2.190e+01,3.224e+01,8.458e+01
4.4,3.661e+01,2.440e+02,2.973e+01,3.104e+02
5.9,3.726e+01,1.072e+03,2.759e+01,1.137e+03
7.4,3.117e+01,1.942e+03,2.973e+01,2.003e+03
8.9,3.203e+01,2.978e+03,3.177e+01,3.042e+03
10.3,3.899e+01,4.389e+03,3.226e+01,4.461e+03
11.8,4.791e+01,6.290e+03,2.857e+01,6.367e+03
13.3,4.147e+01,8.777e+03,2.656e+01,8.845e+03
14.8,3.614e+01,1.214e+04,2.791e+01,1.220e+04
16.3,5.367e+01,1.703e+04,3.297e+01,1.712e+04
17.7,9.530e+01,2.342e+04,3.149e+01,2.355e+04
19.2,1.538e+02,3.285e+04,5.899e+01,3.306e+04
20.7,2.700e+02,4.462e+04,1.753e+02,4.507e+04
22.2,5.020e+02,5.929e+04,1.992e+02,5.999e+04
23.7,1.042e+03,8.284e+04,1.289e+02,8.401e+04
25.1,1.571e+03,9.601e+04,1.401e+02,9.772e+04
26.6,1.497e+03,8.800e+04,1.094e+02,8.961e+04
28.1,1.150e+03,9.412e+04,1.062e+02,9.537e+04
29.6,1.518e+03,1.453e+05,1.823e+02,1.470e+05
31.0,4.229e+03,2.602e+05,4.139e+02,2.648e+05
32.5,1.971e+04,4.773e+05,1.114e+03,4.981e+05
34.0,9.100e+04,8.448e+05,3.020e+03,9.388e+05
35.5,2.147e+05,1.132e+06,4.768e+03,1.352e+06
37.0,2.775e+05,1.008e+06,5.682e+03,1.291e+06
38.4,3.087e+05,7.902e+05,5.418e+03,1.104e+06
39.9,3.376e+05,6.306e+05,5.606e+03,9.738e+05
41.4,3.821e+05,5.098e+05,7.404e+03,8.993e+05
42.9,5.247e+05,4.186e+05,7.936e+03,9.512e+05
44.3,5.933e+05,3.063e+05,4.186e+03,9.038e+05
45.8,4.876e+05,1.929e+05,1.770e+03,6.822e+05
47.3,3.664e+05,1.223e+05,3.662e+03,4.924e+05
48.8,2.865e+05,9.064e+04,7.391e+03,3.845e+05
50.3,2.237e+05,7.440e+04,1.048e+04,3.086e+05
51.7,1.625e+05,5.924e+04,8.127e+03,2.298e+05
53.2,1.209e+05,4.901e+04,7.271e+03,1.772e+05
